value,CountryCode,FacultyUrl,CategoryUrl
0,AR,educacion,clases-conversacion-online
0.615,AR,educacion,diplomado
0.28,AR,educacion,especializacion
0,AR,educacion,evaluacion-oficial
0,AR,educacion,examenes-oficiales
0.5,AR,educacion,licenciatura
0.28,AR,educacion,maestria
0.28,AR,educacion,maestria-oficial
0.28,AR,enfermeria,maestria-oficial
0.28,AR,enfermeria,maestria
0.5,AR,enfermeria,licenciatura
0,AR,enfermeria,examenes-oficiales
0,AR,enfermeria,evaluacion-oficial
0.28,AR,enfermeria,especializacion
0.615,AR,enfermeria,diplomado
0,AR,enfermeria,clases-conversacion-online
0,AR,escuela-de-idiomas,clases-conversacion-online
1.23,AR,escuela-de-idiomas,diplomado
0.56,AR,escuela-de-idiomas,especializacion
0,AR,escuela-de-idiomas,evaluacion-oficial
0,AR,escuela-de-idiomas,examenes-oficiales
1,AR,escuela-de-idiomas,licenciatura
0.56,AR,escuela-de-idiomas,maestria
0.56,AR,escuela-de-idiomas,maestria-oficial
0.56,AR,escuela-de-negocios,maestria-oficial
0.56,AR,escuela-de-negocios,maestria
1,AR,escuela-de-negocios,licenciatura
0,AR,escuela-de-negocios,examenes-oficiales
0,AR,escuela-de-negocios,evaluacion-oficial
0.56,AR,escuela-de-negocios,especializacion
1.23,AR,escuela-de-negocios,diplomado
0,AR,escuela-de-negocios,clases-conversacion-online
0,AR,farmacia,clases-conversacion-online
0.615,AR,farmacia,diplomado
0.28,AR,farmacia,especializacion
0,AR,farmacia,evaluacion-oficial
0,AR,farmacia,examenes-oficiales
0.5,AR,farmacia,licenciatura
0.28,AR,farmacia,maestria
0.28,AR,farmacia,maestria-oficial
0.56,AR,filosofia,maestria-oficial
0.56,AR,filosofia,maestria
1,AR,filosofia,licenciatura
0,AR,filosofia,examenes-oficiales
0,AR,filosofia,evaluacion-oficial
0.56,AR,filosofia,especializacion
1.23,AR,filosofia,diplomado
0,AR,filosofia,clases-conversacion-online
0,AR,fisioterapia,clases-conversacion-online
0.615,AR,fisioterapia,diplomado
0.28,AR,fisioterapia,especializacion
0,AR,fisioterapia,evaluacion-oficial
0,AR,fisioterapia,examenes-oficiales
0.5,AR,fisioterapia,licenciatura
0.28,AR,fisioterapia,maestria
0.28,AR,fisioterapia,maestria-oficial
0.56,AR,medicina,maestria-oficial
0.56,AR,medicina,maestria
1,AR,medicina,licenciatura
0,AR,medicina,examenes-oficiales
0,AR,medicina,evaluacion-oficial
0.56,AR,medicina,especializacion
1.23,AR,medicina,diplomado
0,AR,medicina,clases-conversacion-online
0,AR,nutricion,clases-conversacion-online
0.738,AR,nutricion,diplomado
0.336,AR,nutricion,especializacion
0,AR,nutricion,evaluacion-oficial
0,AR,nutricion,examenes-oficiales
0.6,AR,nutricion,licenciatura
0.336,AR,nutricion,maestria
0.336,AR,nutricion,maestria-oficial
0.7,AR,odontologia,maestria-oficial
0.7,AR,odontologia,maestria
1.25,AR,odontologia,licenciatura
0,AR,odontologia,examenes-oficiales
0,AR,odontologia,evaluacion-oficial
0.7,AR,odontologia,especializacion
1.5375,AR,odontologia,diplomado
0,AR,odontologia,clases-conversacion-online
0,AR,psicologia,clases-conversacion-online
0.738,AR,psicologia,diplomado
0.336,AR,psicologia,especializacion
0,AR,psicologia,evaluacion-oficial
0,AR,psicologia,examenes-oficiales
0.6,AR,psicologia,licenciatura
0.336,AR,psicologia,maestria
0.336,AR,psicologia,maestria-oficial
0.49,CO,educacion,maestria-oficial
0.49,CO,educacion,maestria
0.5,CO,educacion,licenciatura
0,CO,educacion,examenes-oficiales
0,CO,educacion,evaluacion-oficial
0.455,CO,educacion,especializacion
0.5,CO,educacion,diplomado
0,CO,educacion,clases-conversacion-online
0.49,CO,enfermeria,maestria-oficial
0,CO,enfermeria,evaluacion-oficial
0.5,CO,enfermeria,licenciatura
0.49,CO,enfermeria,maestria
0,CO,enfermeria,clases-conversacion-online
0.5,CO,enfermeria,diplomado
0,CO,enfermeria,examenes-oficiales
0.455,CO,enfermeria,especializacion
0,CO,escuela-de-idiomas,evaluacion-oficial
0.91,CO,escuela-de-idiomas,especializacion
1,CO,escuela-de-idiomas,diplomado
0,CO,escuela-de-idiomas,clases-conversacion-online
0.98,CO,escuela-de-idiomas,maestria-oficial
0.98,CO,escuela-de-idiomas,maestria
1,CO,escuela-de-idiomas,licenciatura
0,CO,escuela-de-idiomas,examenes-oficiales
0.98,CO,escuela-de-negocios,maestria
0.98,CO,escuela-de-negocios,maestria-oficial
0,CO,escuela-de-negocios,clases-conversacion-online
1,CO,escuela-de-negocios,diplomado
0.91,CO,escuela-de-negocios,especializacion
0,CO,escuela-de-negocios,evaluacion-oficial
1,CO,escuela-de-negocios,licenciatura
0,CO,escuela-de-negocios,examenes-oficiales
0,CO,farmacia,clases-conversacion-online
0.49,CO,farmacia,maestria-oficial
0.49,CO,farmacia,maestria
0.5,CO,farmacia,licenciatura
0,CO,farmacia,examenes-oficiales
0,CO,farmacia,evaluacion-oficial
0.455,CO,farmacia,especializacion
0.5,CO,farmacia,diplomado
0,CO,filosofia,clases-conversacion-online
1,CO,filosofia,diplomado
0.91,CO,filosofia,especializacion
0,CO,filosofia,evaluacion-oficial
0,CO,filosofia,examenes-oficiales
1,CO,filosofia,licenciatura
0.98,CO,filosofia,maestria
0.98,CO,filosofia,maestria-oficial
0,CO,fisioterapia,clases-conversacion-online
0,CO,fisioterapia,examenes-oficiales
0.5,CO,fisioterapia,diplomado
0,CO,fisioterapia,evaluacion-oficial
0.455,CO,fisioterapia,especializacion
0.49,CO,fisioterapia,maestria-oficial
0.49,CO,fisioterapia,maestria
0.5,CO,fisioterapia,licenciatura
0.98,CO,medicina,maestria-oficial
0,CO,medicina,examenes-oficiales
1,CO,medicina,licenciatura
0.98,CO,medicina,maestria
1,CO,medicina,diplomado
0,CO,medicina,clases-conversacion-online
0,CO,medicina,evaluacion-oficial
0.91,CO,medicina,especializacion
0.5460001,CO,nutricion,especializacion
0,CO,nutricion,evaluacion-oficial
0.6,CO,nutricion,diplomado
0,CO,nutricion,clases-conversacion-online
0.5880001,CO,nutricion,maestria-oficial
0.5880001,CO,nutricion,maestria
0.6,CO,nutricion,licenciatura
0,CO,nutricion,examenes-oficiales
0.98,CO,odontologia,maestria-oficial
1,CO,odontologia,licenciatura
0.98,CO,odontologia,maestria
1,CO,odontologia,diplomado
0,CO,odontologia,clases-conversacion-online
0,CO,odontologia,evaluacion-oficial
0.91,CO,odontologia,especializacion
0,CO,odontologia,examenes-oficiales
0.6,CO,psicologia,diplomado
0,CO,psicologia,clases-conversacion-online
0.5880001,CO,psicologia,maestria
0.5880001,CO,psicologia,maestria-oficial
0.6,CO,psicologia,licenciatura
0,CO,psicologia,examenes-oficiales
0.5460001,CO,psicologia,especializacion
0,CO,psicologia,evaluacion-oficial
1,ES,educacion,examenes-oficiales
1,ES,educacion,experto-universitario
1,ES,educacion,grado
1,ES,educacion,master
1,ES,educacion,master-universitario
1,ES,educacion,ope-enfermeria
1,ES,educacion,cfc
1,ES,educacion,clases-conversacion-online
1,ES,educacion,curso-universitario
1,ES,educacion,evaluacion-oficial
1,ES,enfermeria,ope-enfermeria
1,ES,enfermeria,master-universitario
1,ES,enfermeria,master
1,ES,enfermeria,grado
1,ES,enfermeria,experto-universitario
1,ES,enfermeria,evaluacion-oficial
1,ES,enfermeria,examenes-oficiales
1,ES,enfermeria,curso-universitario
1,ES,enfermeria,cfc
1,ES,enfermeria,clases-conversacion-online
1,ES,escuela-de-idiomas,cfc
1,ES,escuela-de-idiomas,clases-conversacion-online
1,ES,escuela-de-idiomas,evaluacion-oficial
1,ES,escuela-de-idiomas,master
1,ES,escuela-de-idiomas,master-universitario
1,ES,escuela-de-idiomas,ope-enfermeria
1,ES,escuela-de-idiomas,curso-universitario
1,ES,escuela-de-idiomas,examenes-oficiales
1,ES,escuela-de-idiomas,experto-universitario
1,ES,escuela-de-idiomas,grado
1,ES,escuela-de-negocios,ope-enfermeria
1,ES,escuela-de-negocios,master-universitario
1,ES,escuela-de-negocios,master
1,ES,escuela-de-negocios,clases-conversacion-online
1,ES,escuela-de-negocios,cfc
1,ES,escuela-de-negocios,curso-universitario
1,ES,escuela-de-negocios,grado
1,ES,escuela-de-negocios,experto-universitario
1,ES,escuela-de-negocios,evaluacion-oficial
1,ES,escuela-de-negocios,examenes-oficiales
1,ES,farmacia,cfc
1,ES,farmacia,clases-conversacion-online
1,ES,farmacia,curso-universitario
1,ES,farmacia,evaluacion-oficial
1,ES,farmacia,examenes-oficiales
1,ES,farmacia,experto-universitario
1,ES,farmacia,grado
1,ES,farmacia,master
1,ES,farmacia,master-universitario
1,ES,farmacia,ope-enfermeria
1,ES,filosofia,ope-enfermeria
1,ES,filosofia,master-universitario
1,ES,filosofia,master
1,ES,filosofia,grado
1,ES,filosofia,experto-universitario
1,ES,filosofia,examenes-oficiales
1,ES,filosofia,evaluacion-oficial
1,ES,filosofia,curso-universitario
1,ES,filosofia,clases-conversacion-online
1,ES,filosofia,cfc
1,ES,fisioterapia,cfc
1,ES,fisioterapia,clases-conversacion-online
1,ES,fisioterapia,curso-universitario
1,ES,fisioterapia,evaluacion-oficial
1,ES,fisioterapia,examenes-oficiales
1,ES,fisioterapia,grado
1,ES,fisioterapia,master-universitario
1,ES,fisioterapia,master
1,ES,fisioterapia,ope-enfermeria
1,ES,fisioterapia,experto-universitario
1,ES,medicina,ope-enfermeria
1,ES,medicina,master
1,ES,medicina,master-universitario
1,ES,medicina,experto-universitario
1,ES,medicina,grado
1,ES,medicina,evaluacion-oficial
1,ES,medicina,examenes-oficiales
1,ES,medicina,curso-universitario
1,ES,medicina,clases-conversacion-online
1,ES,medicina,cfc
1,ES,nutricion,cfc
1,ES,nutricion,clases-conversacion-online
1,ES,nutricion,curso-universitario
1,ES,nutricion,evaluacion-oficial
1,ES,nutricion,examenes-oficiales
1,ES,nutricion,master
1,ES,nutricion,master-universitario
1,ES,nutricion,ope-enfermeria
1,ES,nutricion,grado
1,ES,nutricion,experto-universitario
1.25,ES,odontologia,ope-enfermeria
1.25,ES,odontologia,master
1.25,ES,odontologia,master-universitario
1.25,ES,odontologia,clases-conversacion-online
1.25,ES,odontologia,cfc
1.25,ES,odontologia,experto-universitario
1.25,ES,odontologia,grado
1.25,ES,odontologia,evaluacion-oficial
1.25,ES,odontologia,examenes-oficiales
1.25,ES,odontologia,curso-universitario
1,ES,psicologia,cfc
1,ES,psicologia,clases-conversacion-online
1,ES,psicologia,curso-universitario
1,ES,psicologia,evaluacion-oficial
1,ES,psicologia,examenes-oficiales
1,ES,psicologia,grado
1,ES,psicologia,ope-enfermeria
1,ES,psicologia,master
1,ES,psicologia,master-universitario
1,ES,psicologia,experto-universitario
0.585,MX,educacion,maestria-rvoe
0.58,MX,educacion,especializacion
0,MX,educacion,clases-conversacion-online
1.215,MX,educacion,diplomado
0,MX,educacion,evaluacion-oficial
0,MX,educacion,examenes-oficiales
0.5,MX,educacion,licenciatura
0.585,MX,educacion,maestria
0.585,MX,enfermeria,maestria-rvoe
0.58,MX,enfermeria,especializacion
0,MX,enfermeria,examenes-oficiales
0.585,MX,enfermeria,maestria
0.5,MX,enfermeria,licenciatura
0,MX,enfermeria,clases-conversacion-online
0,MX,enfermeria,evaluacion-oficial
1.215,MX,enfermeria,diplomado
1.16,MX,escuela-de-idiomas,especializacion
0,MX,escuela-de-idiomas,evaluacion-oficial
0,MX,escuela-de-idiomas,clases-conversacion-online
2.43,MX,escuela-de-idiomas,diplomado
1.17,MX,escuela-de-idiomas,maestria
1.17,MX,escuela-de-idiomas,maestria-rvoe
0,MX,escuela-de-idiomas,examenes-oficiales
1,MX,escuela-de-idiomas,licenciatura
1.17,MX,escuela-de-negocios,maestria
1.17,MX,escuela-de-negocios,maestria-rvoe
0,MX,escuela-de-negocios,clases-conversacion-online
2.43,MX,escuela-de-negocios,diplomado
1.16,MX,escuela-de-negocios,especializacion
0,MX,escuela-de-negocios,evaluacion-oficial
0,MX,escuela-de-negocios,examenes-oficiales
1,MX,escuela-de-negocios,licenciatura
0,MX,farmacia,clases-conversacion-online
0,MX,farmacia,evaluacion-oficial
1.215,MX,farmacia,diplomado
0.58,MX,farmacia,especializacion
0.585,MX,farmacia,maestria
0,MX,farmacia,examenes-oficiales
0.5,MX,farmacia,licenciatura
0.585,MX,farmacia,maestria-rvoe
1.17,MX,filosofia,maestria-rvoe
1,MX,filosofia,licenciatura
1.17,MX,filosofia,maestria
1.16,MX,filosofia,especializacion
2.43,MX,filosofia,diplomado
0,MX,filosofia,evaluacion-oficial
0,MX,filosofia,examenes-oficiales
0,MX,filosofia,clases-conversacion-online
1.215,MX,fisioterapia,diplomado
0,MX,fisioterapia,clases-conversacion-online
0.5,MX,fisioterapia,licenciatura
0,MX,fisioterapia,evaluacion-oficial
0.58,MX,fisioterapia,especializacion
0.585,MX,fisioterapia,maestria-rvoe
0,MX,fisioterapia,examenes-oficiales
0.585,MX,fisioterapia,maestria
1.17,MX,medicina,maestria-rvoe
0,MX,medicina,examenes-oficiales
1.17,MX,medicina,maestria
1,MX,medicina,licenciatura
0,MX,medicina,clases-conversacion-online
0,MX,medicina,evaluacion-oficial
2.43,MX,medicina,diplomado
1.16,MX,medicina,especializacion
0,MX,nutricion,evaluacion-oficial
0.696,MX,nutricion,especializacion
1.458,MX,nutricion,diplomado
0,MX,nutricion,clases-conversacion-online
0.702,MX,nutricion,maestria-rvoe
0.6,MX,nutricion,licenciatura
0.702,MX,nutricion,maestria
0,MX,nutricion,examenes-oficiales
1.17,MX,odontologia,maestria-rvoe
1.17,MX,odontologia,maestria
1,MX,odontologia,licenciatura
0,MX,odontologia,clases-conversacion-online
0,MX,odontologia,evaluacion-oficial
2.43,MX,odontologia,diplomado
1.16,MX,odontologia,especializacion
0,MX,odontologia,examenes-oficiales
1.458,MX,psicologia,diplomado
0,MX,psicologia,clases-conversacion-online
0.6,MX,psicologia,licenciatura
0.702,MX,psicologia,maestria
0.702,MX,psicologia,maestria-rvoe
0,MX,psicologia,examenes-oficiales
0,MX,psicologia,evaluacion-oficial
0.696,MX,psicologia,especializacion
0.515,PE,educacion,maestria-oficial
0.515,PE,educacion,maestria
0.5,PE,educacion,licenciatura
0,PE,educacion,examenes-oficiales
0,PE,educacion,evaluacion-oficial
0.5,PE,educacion,diplomado
0,PE,educacion,clases-conversacion-online
0.485,PE,educacion,especializacion
0.515,PE,enfermeria,maestria
0.515,PE,enfermeria,maestria-oficial
0.5,PE,enfermeria,licenciatura
0,PE,enfermeria,examenes-oficiales
0,PE,enfermeria,evaluacion-oficial
0.485,PE,enfermeria,especializacion
0.5,PE,enfermeria,diplomado
0,PE,enfermeria,clases-conversacion-online
1,PE,escuela-de-idiomas,diplomado
0,PE,escuela-de-idiomas,clases-conversacion-online
0,PE,escuela-de-idiomas,evaluacion-oficial
0.97,PE,escuela-de-idiomas,especializacion
1,PE,escuela-de-idiomas,licenciatura
1.03,PE,escuela-de-idiomas,maestria
1.03,PE,escuela-de-idiomas,maestria-oficial
0,PE,escuela-de-idiomas,examenes-oficiales
