AMOUNT,Code,FacultyUrl,CategoryUrl
0,ES,educacion,CFC
0,ES,enfermeria,CFC
0,ES,escuela-de-idiomas,CFC
99,ES,escuela-de-negocios,CFC
0,ES,farmacia,CFC
0,ES,filosofia,CFC
0,ES,fisioterapia,CFC
0,ES,medicina,CFC
0,ES,nutricion,CFC
0,ES,odontologia,CFC
0,ES,psicologia,CFC
0,PE,educacion,CFC
0,PE,enfermeria,CFC
0,PE,escuela-de-idiomas,CFC
99,PE,escuela-de-negocios,CFC
0,PE,farmacia,CFC
0,PE,filosofia,CFC
0,PE,fisioterapia,CFC
0,PE,medicina,CFC
0,PE,nutricion,CFC
0,PE,odontologia,CFC
0,PE,psicologia,CFC
0,CO,educacion,CFC
0,CO,enfermeria,CFC
0,CO,escuela-de-idiomas,CFC
99,CO,escuela-de-negocios,CFC
0,CO,farmacia,CFC
0,CO,filosofia,CFC
0,CO,fisioterapia,CFC
0,CO,medicina,CFC
0,CO,nutricion,CFC
0,CO,odontologia,CFC
0,CO,psicologia,CFC
0,AR,educacion,CFC
0,AR,enfermeria,CFC
0,AR,escuela-de-idiomas,CFC
99,AR,escuela-de-negocios,CFC
0,AR,farmacia,CFC
0,AR,filosofia,CFC
0,AR,fisioterapia,CFC
0,AR,medicina,CFC
0,AR,nutricion,CFC
0,AR,odontologia,CFC
0,AR,psicologia,CFC
0,MX,educacion,CFC
0,MX,enfermeria,CFC
0,MX,escuela-de-idiomas,CFC
99,MX,escuela-de-negocios,CFC
0,MX,farmacia,CFC
0,MX,filosofia,CFC
0,MX,fisioterapia,CFC
0,MX,medicina,CFC
0,MX,nutricion,CFC
0,MX,odontologia,CFC
0,MX,psicologia,CFC
0,CO,psicologia,Clases en directo
0,CO,odontologia,Clases en directo
0,CO,nutricion,Clases en directo
0,CO,medicina,Clases en directo
0,CO,fisioterapia,Clases en directo
0,CO,farmacia,Clases en directo
0,CO,filosofia,Clases en directo
940,CO,escuela-de-negocios,Clases en directo
0,CO,enfermeria,Clases en directo
0,CO,escuela-de-idiomas,Clases en directo
0,CO,educacion,Clases en directo
0,MX,psicologia,Clases en directo
0,MX,odontologia,Clases en directo
0,MX,nutricion,Clases en directo
0,MX,medicina,Clases en directo
0,MX,fisioterapia,Clases en directo
0,MX,farmacia,Clases en directo
0,MX,filosofia,Clases en directo
940,MX,escuela-de-negocios,Clases en directo
0,MX,enfermeria,Clases en directo
0,MX,escuela-de-idiomas,Clases en directo
0,MX,educacion,Clases en directo
0,AR,psicologia,Clases en directo
0,AR,odontologia,Clases en directo
0,AR,nutricion,Clases en directo
0,AR,medicina,Clases en directo
0,AR,fisioterapia,Clases en directo
0,AR,farmacia,Clases en directo
0,AR,filosofia,Clases en directo
940,AR,escuela-de-negocios,Clases en directo
0,AR,enfermeria,Clases en directo
0,AR,escuela-de-idiomas,Clases en directo
0,AR,educacion,Clases en directo
0,PE,psicologia,Clases en directo
0,PE,odontologia,Clases en directo
0,PE,nutricion,Clases en directo
0,PE,medicina,Clases en directo
0,PE,fisioterapia,Clases en directo
0,PE,farmacia,Clases en directo
0,PE,filosofia,Clases en directo
940,PE,escuela-de-negocios,Clases en directo
0,PE,enfermeria,Clases en directo
0,PE,escuela-de-idiomas,Clases en directo
0,PE,educacion,Clases en directo
0,ES,psicologia,Clases en directo
0,ES,odontologia,Clases en directo
0,ES,nutricion,Clases en directo
0,ES,medicina,Clases en directo
0,ES,fisioterapia,Clases en directo
0,ES,farmacia,Clases en directo
0,ES,filosofia,Clases en directo
940,ES,escuela-de-negocios,Clases en directo
0,ES,enfermeria,Clases en directo
0,ES,escuela-de-idiomas,Clases en directo
0,ES,educacion,Clases en directo
39,ES,educacion,curso
52,ES,enfermeria,curso
65,ES,escuela-de-idiomas,curso
65,ES,escuela-de-negocios,curso
65,ES,filosofia,curso
65,ES,farmacia,curso
45.5,ES,fisioterapia,curso
65,ES,medicina,curso
65,ES,nutricion,curso
81.25,ES,odontologia,curso
45.5,ES,psicologia,curso
39,PE,educacion,curso
52,PE,enfermeria,curso
65,PE,escuela-de-idiomas,curso
65,PE,escuela-de-negocios,curso
65,PE,filosofia,curso
65,PE,farmacia,curso
45.5,PE,fisioterapia,curso
65,PE,medicina,curso
65,PE,nutricion,curso
81.25,PE,odontologia,curso
45.5,PE,psicologia,curso
39,AR,educacion,curso
52,AR,enfermeria,curso
65,AR,escuela-de-idiomas,curso
65,AR,escuela-de-negocios,curso
65,AR,filosofia,curso
65,AR,farmacia,curso
45.5,AR,fisioterapia,curso
65,AR,medicina,curso
65,AR,nutricion,curso
81.25,AR,odontologia,curso
45.5,AR,psicologia,curso
39,CO,educacion,curso
52,CO,enfermeria,curso
65,CO,escuela-de-idiomas,curso
65,CO,escuela-de-negocios,curso
65,CO,filosofia,curso
65,CO,farmacia,curso
45.5,CO,fisioterapia,curso
65,CO,medicina,curso
65,CO,nutricion,curso
81.25,CO,odontologia,curso
45.5,CO,psicologia,curso
39,MX,educacion,curso
52,MX,enfermeria,curso
65,MX,escuela-de-idiomas,curso
65,MX,escuela-de-negocios,curso
65,MX,filosofia,curso
65,MX,farmacia,curso
45.5,MX,fisioterapia,curso
65,MX,medicina,curso
65,MX,nutricion,curso
81.25,MX,odontologia,curso
45.5,MX,psicologia,curso
0,CO,farmacia,Evaluación Oficial
0,CO,escuela-de-idiomas,Evaluación Oficial
210,CO,escuela-de-negocios,Evaluación Oficial
0,CO,enfermeria,Evaluación Oficial
0,CO,educacion,Evaluación Oficial
0,CO,psicologia,Evaluación Oficial
0,CO,odontologia,Evaluación Oficial
0,CO,nutricion,Evaluación Oficial
0,CO,medicina,Evaluación Oficial
0,CO,fisioterapia,Evaluación Oficial
0,CO,filosofia,Evaluación Oficial
0,MX,farmacia,Evaluación Oficial
0,MX,escuela-de-idiomas,Evaluación Oficial
210,MX,escuela-de-negocios,Evaluación Oficial
0,MX,enfermeria,Evaluación Oficial
0,MX,educacion,Evaluación Oficial
0,MX,psicologia,Evaluación Oficial
0,MX,odontologia,Evaluación Oficial
0,MX,nutricion,Evaluación Oficial
0,MX,medicina,Evaluación Oficial
0,MX,fisioterapia,Evaluación Oficial
0,MX,filosofia,Evaluación Oficial
0,AR,farmacia,Evaluación Oficial
0,AR,escuela-de-idiomas,Evaluación Oficial
210,AR,escuela-de-negocios,Evaluación Oficial
0,AR,enfermeria,Evaluación Oficial
0,AR,educacion,Evaluación Oficial
0,AR,psicologia,Evaluación Oficial
0,AR,odontologia,Evaluación Oficial
0,AR,nutricion,Evaluación Oficial
0,AR,medicina,Evaluación Oficial
0,AR,fisioterapia,Evaluación Oficial
0,AR,filosofia,Evaluación Oficial
0,PE,farmacia,Evaluación Oficial
0,PE,escuela-de-idiomas,Evaluación Oficial
210,PE,escuela-de-negocios,Evaluación Oficial
0,PE,enfermeria,Evaluación Oficial
0,PE,educacion,Evaluación Oficial
0,PE,psicologia,Evaluación Oficial
0,PE,odontologia,Evaluación Oficial
0,PE,nutricion,Evaluación Oficial
0,PE,medicina,Evaluación Oficial
0,PE,fisioterapia,Evaluación Oficial
0,PE,filosofia,Evaluación Oficial
0,ES,farmacia,Evaluación Oficial
0,ES,escuela-de-idiomas,Evaluación Oficial
210,ES,escuela-de-negocios,Evaluación Oficial
0,ES,enfermeria,Evaluación Oficial
0,ES,educacion,Evaluación Oficial
0,ES,psicologia,Evaluación Oficial
0,ES,odontologia,Evaluación Oficial
0,ES,nutricion,Evaluación Oficial
0,ES,medicina,Evaluación Oficial
0,ES,fisioterapia,Evaluación Oficial
0,ES,filosofia,Evaluación Oficial
0,ES,fisioterapia,Examen Oficial
0,ES,medicina,Examen Oficial
0,ES,nutricion,Examen Oficial
0,ES,odontologia,Examen Oficial
0,ES,psicologia,Examen Oficial
0,ES,educacion,Examen Oficial
